Month,Year,TotalDisbursement,TotalPaid,AverageProfit,AverageLossRate,debtincome
2010-01-01,2010,1953398.00,2211941,0.10,0.08,0.21
2010-02-01,2010,1718196.00,1914399,0.09,0.07,0.22
2010-03-01,2010,2254596.00,2605983,0.10,0.07,0.2
2010-04-01,2010,2502658.00,2855696,0.10,0.07,0.21
2010-05-01,2010,1755059.00,1982504,0.10,0.08,0.22
2010-06-01,2010,2123469.00,2377609,0.10,0.08,0.21
2010-07-01,2010,2019668.00,2314418,0.10,0.08,0.2
2010-08-01,2010,2216831.00,2493266,0.11,0.11,0.18
2010-09-01,2010,2007958.00,2268984,0.11,0.11,0.18
2010-10-01,2010,2504715.00,2873719,0.10,0.11,0.19
2010-11-01,2010,2641464.00,2976490,0.11,0.11,0.2
2010-12-01,2010,3234974.00,3640571,0.11,0.12,0.21
2011-01-01,2011,3301421.00,3655930,0.12,0.09,0.2
2011-02-01,2011,3656521.00,3956730,0.10,0.08,0.2
2011-03-01,2011,4513931.00,4889030,0.10,0.10,0.2
2011-04-01,2011,5013589.00,5263582,0.10,0.10,0.2
2011-05-01,2011,5600453.00,5636138,0.11,0.10,0.23
2011-06-01,2011,5606304.00,5666849,0.12,0.11,0.24
2011-07-01,2011,6004565.00,6248642,0.12,0.10,0.22
2011-08-01,2011,6864461.00,6727944,0.12,0.10,0.25
2011-09-01,2011,7357183.00,7381876,0.12,0.10,0.22
2011-10-01,2011,8695069.00,8786843,0.12,0.09,0.21
2011-11-01,2011,9003673.00,8757303,0.12,0.10,0.23
2011-12-01,2011,9500643.00,8718149,0.11,0.10,0.23
2012-01-01,2012,10826708.00,9295726,0.11,0.09,0.21
2012-02-01,2012,11001656.00,9207370,0.10,0.09,0.23
2012-03-01,2012,11235816.00,8803839,0.11,0.09,0.23
2012-04-01,2012,11624205.00,9170009,0.11,0.10,0.22
2012-05-01,2012,12810214.00,9710053,0.12,0.10,0.24
2012-06-01,2012,13555137.00,10054700,0.12,0.09,0.23
2012-07-01,2012,14925140.00,10562110,0.12,0.09,0.22
2012-08-01,2012,14306127.00,9854971,0.11,0.09,0.23
2012-09-01,2012,15839746.00,10248327,0.11,0.09,0.26
2012-10-01,2012,15326862.00,9399708,0.11,0.09,0.24
2012-11-01,2012,12086223.00,7075506,0.10,0.08,0.24
2012-12-01,2012,9607832.00,5266067,0.10,0.08,0.27
2013-01-01,2013,9821397.00,5629700,0.10,0.08,0.24
2013-02-01,2013,9008609.00,4500006,0.10,0.08,0.27
2013-03-01,2013,15112503.00,6675686,0.09,0.08,0.26
2013-04-01,2013,20235555.00,8073886,0.10,0.08,0.26
2013-05-01,2013,25036472.00,8583996,0.09,0.07,0.25
2013-06-01,2013,27505111.00,8448759,0.10,0.07,0.25
2013-07-01,2013,30313099.00,7852561,0.09,0.07,0.25
2013-08-01,2013,31403164.00,7411543,0.09,0.07,0.24
2013-09-01,2013,33117868.00,6912537,0.09,0.08,0.25
2013-10-01,2013,50082998.00,8259181,0.09,0.08,0.25
2013-11-01,2013,46005431.00,5739001,0.08,0.07,0.24
2013-12-01,2013,59761115.00,4948431,0.08,0.07,0.24
2014-01-01,2014,67013604.00,3062367,0.07,0.06,0.24
2014-02-01,2014,51582975.00,302959,0.07,0.06,0.24
2014-03-01,2014,21295481.00,0,0.07,0.06,0.24
